,City,Company,Contact Name,Contact No.,Pincode,State,Street Address
86,Kolkata,PROMISES INSTRUMENTS PVT. LTD.,"Mr. ARINDAM  CHANDRA, MR. Manoj  Bhatia",(+91)3324164302			, 700017,West Bengal,"45, SHAKESPEARE SARANI, CENTURY TOWERS, OPP. KALAMANDIR,"
87,Kolkata,WEIGHING INDIA CORPORATION,sudipta  bhattacharyya,(+91)3324781081			, 700074,West Bengal,kolkata
88,Kolkata,GSP PROJECTS PVT. LTD.,MR. gautam s patel,02692-235390			, 700006,West Bengal,"65/1, Maharshi debendra road,"
89,Kolkata,GOLDEN MACHINERY CORPORATION,Mr. Manoj   Agarwal,(+91)6512290734/735/			, 700013,West Bengal,"7, Ganesh Chandra Avenue,"
90,Kolkata,GOKULKA TRADING & AGENCIES,Mr. MATADIN  G.,(+91)3325295086			, 700069,West Bengal,"1, BRITISH INDIAN STREET,"
91,Kolkata,GARG TRADING COMPANY,Mr. mohit  agrawal,(+91)3322205054/2230			, 700001,West Bengal,"40, STRAND ROAD, GROUND FLOOR,"
92,Kolkata,GEE LIMITED,"Mr. PRANAB  CHATTERJEE, Mr. S. L. Agarwal",(+91)3322845120/2289			, 700001,West Bengal,"135-A, B.R.B. BASU ROAD, 2ND FLOOR,"
93,Kolkata,FILARE ENGINEERING PVT.LTD.,Mr. GOVIND  SARAF,(+91)3324166614/3259			, 700001,West Bengal,"505, MUKTI CHAMBERS, 4 DR. RAJENDRA PRASAD SARANI,"
94,Kolkata,KEJRIWAL ALLOYS & METALS PVT. LTD.,Mr. Rajesh  Kejriwal,(+91)3324166614			, 700072,West Bengal,"14, Chandni Chowk Street,"
95,Kolkata,INDO WELDCON UDYOG,Mr. shivam  jaiswal,(+91)3322267841/2283			, 700006,West Bengal,"15, D.L. ROY STREET,"
96,Kolkata,ADOR WELDING LTD.,"Mr. R. N. KUNDU, Mr. RAJIV  BANERJEE",(+91)3325294703			, 700014,West Bengal,"P-6, CIT ROAD,"
97,Kolkata,ELMICO ENGINEERING PRIVATE LIMITED,MR. Surya Sundar Mitra,(+91)3322594311			, 700074,West Bengal,"66/2, DUM DUM ROAD,"
98,Kolkata,ELECTRO ENTERPRISE,Mr. VINOD  SHARMA,(+91)3322372835/2655			, 700001,West Bengal,"27/2C, STRAND ROAD, IST FLOOR, ROOM NO.5,"
99,Kolkata,BHUTORIA VALVE UDYOG LTD.,MR. Debasis  Singha,02692-235390			, 712235,West Bengal,"17, G. T. Road, Konnagar,"
100,Kolkata,SUNIL INDUSTRIAL CORPORATION,Sunil Kumat S,(+91)3330225499			, 700001,West Bengal,"77, Netaji Subhas Road,"
101,Kolkata,SHIELDARC EQUIPMENT PVT. LTD.,Mr. R P Srivastava,(+91)3322431921			, 700016,West Bengal,"85, Elliot Road,"
102,Kolkata,SHARADA WELDING PVT. LTD.,Mr. S.K  Sengupta,(+91)3322421638/8786			, 700084,West Bengal,"Mukherjee Industrial complex, Mahamayatala,"
103,Kolkata,SHREE BALAJI UDYOG,Mr. ANIL KUMAR KHARAKIA,(+91)3322314330/2231			, 700001,West Bengal,"40/3, STRAND ROAD, 3RD FLOOR, ROOM NO. 18,"
104,Kolkata,USHA ENTERPRISES,Mr. MUNDRA,(+91)3322127495			, 700069,West Bengal,"12, GOVERNMENT PLACE EAST, 2ND FLOOR,"
105,Kolkata,WELDMAN SYNERGIC PVT. LTD.,Mr. SOMEER  MISHRA,(+91)3332991412			, 700153,West Bengal,"MAHAMAYATALA GARIA, PURBO PARA, \nPOST-LASKAR PUR,"
106,Kolkata,VISION GUPTA AND SUR ENGG. CO. P LTD.,Dr. Ranaraj  Gupta,(+91)3322166585/86/6			, 700014,West Bengal,"3/2, Dr. Suresh Sarkar Road,"
107,Kolkata,OSCO ENGINEERING SERVICE,Mr. SUBIR  ROY,(+91)3325290834/2551			, 700013,West Bengal,"54, GANESH CHANDRA AVENUE,"
108,Kolkata,ROOP TELSONIC ULTRASONIX LTD.,Dr. A. S. Tribadi,(+91)3322305014/5025			, 700026,West Bengal,"53/B, Kalighat Road,"
109,Kolkata,S. AKBERALLY & CO.,MR. ALI  ASGAR,(+91)3326740266/2223			, 700001,West Bengal,"137, B.R.B. BASU ROAD,"
110,Kolkata,R. S. IMPEX INTERNATIONAL,Mr. Shadab  Siddiqui,02692-235390			, 700073,West Bengal,"71/1, Maulana Shaukat Ali Street, P.O. Box - 12335,"
111,Kolkata,PADMAVATI TRADING COMPANY,Mr. Baldev  Kedia,(+91)3322431909/2569			, 700001,West Bengal,"83/85, N.S. Road, shop no-21,"
112,Kolkata,JAIN ENGINEERING WORKS,Mr. SUNIL  LUNIA,(+91)3322298347/4718			, 700001,West Bengal,"147, NETAJI SUBHAS ROAD, 2ND FLOOR, ROOM-20,"
113,Kolkata,ENGEL I,Mr. P C Sil,(+91)3324355451			, 700088,West Bengal,"1, TARATALA ROAD,"
114,Kolkata,QUOTIENT ENGINEERING INC.,"Mr. N.k Sengupta , Mr. Kanchan  biswas",(+91)3322317458			, 700091,West Bengal,"Salt Lake City, Infinity Building, 2nd Floor, Sector-V,"
115,Kolkata,ERGON CORPORATION,Mr. SUDHIR K Khurana,(+91)3322424433/4307			, 700012,West Bengal,"309, AL-AKBARI MANSION, 3RD FLOOR, 27, WESTON STREET, ROOM NO -309,"
116,Kolkata,S R UDYOG,Mr. Amar  Mandalia,(+91)3324359094/5694			, 700001,West Bengal,"91, NETAJI SUBHASH ROAD,"
